"4","-1","1681984612568"
"4","60","1681984618871"
"4","61","1681984925841"
"4","62","1681984961775"
"4","63","1681985303069"
"4","64","1681985347194"
"4","65","1681985528214"
"4","-2","1681985549141"
"3","-1","1681986019659"
"3","24","1681986019895"
"3","25","1681986034891"
"3","26","1681986076144"
"3","27","1681986089592"
"3","28","1681986116894"
"3","29","1681986131608"
"3","30","1681986148296"
"3","31","1681986158986"
"3","32","1681986180571"
"3","33","1681986195631"
"3","34","1681986218415"
"3","35","1681986236473"
"3","36","1681986297255"
"3","37","1681986306645"
"3","38","1681986329701"
"3","39","1681986334369"
"3","40","1681986359647"
"3","41","1681986367801"
"3","42","1681986388805"
"3","43","1681986394882"
"3","44","1681986637078"
"3","45","1681986649281"
"3","46","1681986669383"
"3","47","1681986675946"
"3","48","1681986696149"
"3","49","1681986703233"
"3","50","1681986718294"
"3","51","1681986723582"
"3","52","1681986737258"
"3","53","1681986744355"
"3","54","1681986761378"
"3","55","1681986767671"
"3","56","1681986781054"
"3","57","1681986786183"
"3","58","1681986800197"
"3","59","1681986805734"
"3","-2","1681986807235"
"2","-1","1681986960856"
"2","17","1681986961691"
"2","18","1681986977055"
"2","19","1681986982010"
"2","20","1681986984756"
"2","21","1681987006114"
"2","22","1681987015104"
"2","23","1681987021154"
"2","-2","1681987022112"
"1","-1","1681987065705"
"1","1","1681987075816"
"1","2","1681987083584"
"1","3","1681987084606"
"1","4","1681987088340"
"1","5","1681987093544"
"1","6","1681987112256"
"1","7","1681987115525"
"1","8","1681987117510"
"1","9","1681987123759"
"1","10","1681987134308"
"1","11","1681987137219"
"1","12","1681987141036"
"1","13","1681987145437"
"1","14","1681987150746"
"1","15","1681987154326"
"1","16","1681987163633"
"1","-2","1681987166116"
