eje_x,eje_y,eje_z,timestamp
5712369.0,3581579.0,0.0,1681198391832
5633247.0,3577303.0,0.0,1681198391880
5476631.0,3556611.0,0.0,1681198391929
5329175.0,3540903.0,0.0,1681198391978
4969999.0,3502757.0,0.0,1681198392026
4389029.0,3454815.0,0.0,1681198392075
4797713.0,3504823.0,0.0,1681198392124
5260383.0,3536523.0,0.0,1681198392172
5418627.0,3543645.0,0.0,1681198392221
5475105.0,3546139.0,0.0,1681198392270
5485435.0,3537091.0,0.0,1681198392319
5514437.0,3528331.0,0.0,1681198392368
5417405.0,3511377.0,0.0,1681198392416
5284451.0,3494601.0,0.0,1681198392465
5214895.0,3494993.0,0.0,1681198392514
5029329.0,3486087.0,0.0,1681198392562
4872307.0,3478109.0,0.0,1681198392611
4843559.0,3485875.0,0.0,1681198392660
4836841.0,3491573.0,0.0,1681198392708
4769373.0,3493853.0,0.0,1681198392757
4675393.0,3498233.0,0.0,1681198392806
4310417.0,3469099.0,0.0,1681198392855
3891353.0,3453213.0,0.0,1681198392904
4118157.0,3506319.0,0.0,1681198392953
4470577.0,3530895.0,0.0,1681198393001
4515097.0,3533601.0,0.0,1681198393050
4587203.0,3534135.0,0.0,1681198393099
4586451.0,3530717.0,0.0,1681198393147
4528871.0,3529399.0,0.0,1681198393196
4590291.0,3535561.0,0.0,1681198393245
4563657.0,3531109.0,0.0,1681198393294
4522539.0,3524769.0,0.0,1681198393342
4504689.0,3521385.0,0.0,1681198393391
4428429.0,3517359.0,0.0,1681198393440
4339505.0,3522951.0,0.0,1681198393488
4312119.0,3535953.0,0.0,1681198393537
4290273.0,3544429.0,0.0,1681198393586
4279825.0,3552763.0,0.0,1681198393634
4284851.0,3558961.0,0.0,1681198393683
4299969.0,3564981.0,0.0,1681198393732
4296407.0,3567581.0,0.0,1681198393781
4282833.0,3569859.0,0.0,1681198393829
4267835.0,3578765.0,0.0,1681198393878
4274167.0,3584535.0,0.0,1681198393927
4273731.0,3580795.0,0.0,1681198393976
4257425.0,3571891.0,0.0,1681198394024
4229289.0,3567117.0,0.0,1681198394073
4236609.0,3567011.0,0.0,1681198394122
4262611.0,3566655.0,0.0,1681198394171
4260197.0,3564303.0,0.0,1681198394219
4237243.0,3565301.0,0.0,1681198394268
4222085.0,3566939.0,0.0,1681198394318
4248285.0,3569859.0,0.0,1681198394366
4254537.0,3567189.0,0.0,1681198394415
4247691.0,3566797.0,0.0,1681198394464
4236965.0,3573315.0,0.0,1681198394512
4253033.0,3579477.0,0.0,1681198394561
4263599.0,3581757.0,0.0,1681198394610
4256317.0,3580153.0,0.0,1681198394658
4253587.0,3573635.0,0.0,1681198394707
4231821.0,3566725.0,0.0,1681198394756
4247335.0,3567473.0,0.0,1681198394805
4255961.0,3565941.0,0.0,1681198394854
4247651.0,3569041.0,0.0,1681198394902
4233403.0,3574419.0,0.0,1681198394951
4238707.0,3580189.0,0.0,1681198395000
4249393.0,3580795.0,0.0,1681198395048
4254063.0,3582575.0,0.0,1681198395097
4243693.0,3586565.0,0.0,1681198395145
4245711.0,3592727.0,0.0,1681198395194
4257347.0,3599743.0,0.0,1681198395242
4264509.0,3603589.0,0.0,1681198395291
4259049.0,3606297.0,0.0,1681198395340
4251093.0,3607471.0,0.0,1681198395389
4247611.0,3605905.0,0.0,1681198395438
4237639.0,3600741.0,0.0,1681198395487
4247731.0,3602093.0,0.0,1681198395535
4232455.0,3599637.0,0.0,1681198395584
4228695.0,3607935.0,0.0,1681198395633
4249155.0,3612423.0,0.0,1681198395681
4260829.0,3611141.0,0.0,1681198395730
4257109.0,3610749.0,0.0,1681198395779
4255171.0,3613099.0,0.0,1681198395827
4246425.0,3618085.0,0.0,1681198395876
4266133.0,3625245.0,0.0,1681198395925
4276343.0,3627381.0,0.0,1681198395973
4252677.0,3631121.0,0.0,1681198396022
4260395.0,3638245.0,0.0,1681198396071
4261859.0,3645049.0,0.0,1681198396119
4270249.0,3647933.0,0.0,1681198396168
4270525.0,3640667.0,0.0,1681198396218
4243099.0,3633651.0,0.0,1681198396266
4261027.0,3634827.0,0.0,1681198396315
4257425.0,3633437.0,0.0,1681198396363
4268823.0,3632725.0,0.0,1681198396412
4272781.0,3631015.0,0.0,1681198396461
4254023.0,3632761.0,0.0,1681198396509
4258217.0,3636999.0,0.0,1681198396558
4277491.0,3638387.0,0.0,1681198396606
4273731.0,3639313.0,0.0,1681198396655
4273533.0,3642377.0,0.0,1681198396704
