"4","-1","1681200132666"
"4","60","1681200136350"
"4","61","1681200314361"
"4","62","1681200375864"
"4","63","1681200627159"
"4","64","1681200674249"
"4","65","1681200780199"
"4","-2","1681200794376"
"3","-1","1681201187045"
"3","24","1681201191886"
"3","25","1681201195675"
"3","26","1681201225675"
"3","27","1681201228528"
"3","28","1681201265765"
"3","29","1681201269145"
"3","30","1681201307528"
"3","31","1681201310053"
"3","36","1681201514889"
"3","37","1681201517419"
"3","42","1681201552843"
"3","43","1681201554505"
"3","48","1681201644295"
"3","49","1681201647690"
"3","54","1681201897801"
"3","55","1681201900022"
"3","-2","1681201902181"
"1","-1","1681202042302"
"1","1","1681202045208"
"1","2","1681202048601"
"1","3","1681202050072"
"1","4","1681202051311"
"1","5","1681202053462"
"1","6","1681202054847"
"1","7","1681202055835"
"1","8","1681202056974"
"1","9","1681202058417"
"1","10","1681202063270"
"1","11","1681202065589"
"1","12","1681202069684"
"1","13","1681202086163"
"1","14","1681202089097"
"1","15","1681202089956"
"1","16","1681202092256"
"1","-2","1681202093688"
"2","-1","1681202196722"
"2","17","1681202201360"
"2","18","1681202213966"
"2","19","1681202218170"
"2","20","1681202219738"
"2","21","1681202228954"
"2","22","1681202232366"
"2","23","1681202235183"
"2","-2","1681202236262"
